Code,BirthYear,Sex,Mum,BirthWt,AgeAtDeath,MaleLBS,FemaleLBS
ABS04,2004,1, IVO99,6.820000095,0,NA,0
ABS06,2006,1, IVO99,6.839999809,0,NA,0
ADZ80,1980,1, MOY74,4.979999809,0,NA,0
ADZ81,1981,1, MOY74,7.519999809,0,NA,0
ALB91,1991,1, FUL87,5.600000095,0,NA,0
ALB92,1992,2, FUL87,5.039999905,0,0,NA
ALB93,1993,1, FUL87,7.710000191,5,NA,3
ALB94,1994,1, FUL87,6.895,7,NA,3
ALB97,1997,2, FUL87,7.524999905,1,0,NA
ALD93,1993,2, SUR87,7.340000095,14,0,NA
ALD99,1999,2, SUR87,7.225000191,14,10,NA
ANK86,1986,2, KIL82,5.320000095,0,0,NA
ANK89,1989,1, KIL82,7.009999905,14,NA,9
ANK90,1990,1, KIL82,8.380000381,12,NA,5
ANK91,1991,1, KIL82,5.91,7,NA,5
ANK92,1992,1, KIL82,5.64,0,NA,0
ANM02,2002,1, BAC98,6.23,12,NA,6
ANM03,2003,1, BAC98,6.580000191,1,NA,0
APA04,2004,2, SEQ99,6.28,0,0,NA
APA05,2005,1, SEQ99,3.88,0,NA,0
APH90,1990,2, THO86,6.860000095,0,0,NA
APH95,1995,1, THO86,6.620000191,4,NA,1
APH99,1999,2, THO86,8.2,0,0,NA
APN87,1987,2, ASP78,5.974999809,1,0,NA
APN89,1989,1, ASP78,6.42,0,NA,0
AQU89,1989,2, COB80,8.12,1,0,NA
ARA06,2006,2, HED01,4.964999905,1,0,NA
ART00,2000,2, ARI96,7.14,11,10,NA
ART99,1999,2, ARI96,6.220000191,0,0,NA
ASP82,1982,2, TOR72,5.85,0,0,NA
ASP83,1983,2, TOR72,5.220000381,5,0,NA
AST90,1990,1, GAL85,6.359999905,11,NA,5
AST91,1991,2, GAL85,7.450000095,13,13,NA
AST93,1993,2, GAL85,6.039999905,0,0,NA
AST94,1994,1, GAL85,6.940000191,0,NA,0
AST95,1995,2, GAL85,5.440000191,9,2,NA
ATH85,1985,2, THO81,5.100000095,12,0,NA
ATH87,1987,1, THO81,6.360000191,15,NA,7
ATH94,1994,2, THO81,6.98,0,0,NA
AUR88,1988,2, CAN83,7.959999619,0,0,NA
