Code,Mum,Dad
ADZ80,MOY74,NA
BAR80,UPR71,RGR72
BET80,BLT68,NA
BIG80,BIGHE,NA
BLC80,BLO72,NA
BR280,BRO70,NA
BRA80,ELG68,NA
BRC80,BRA72,NA
CAN80,WHI73,CLE72
CFU80,CMO77,NA
CIN80,BST73,WHI72
CLC80,COL72,RED72
CLE80,CLEOP,NA
CLM80,CLE74,CRT72
COB80,COL74,WHI72
CRA80,BIG76,NA
CRE80,CLE76,PHANT
CUR80,UPT74,NA
DOR80,YTA72,NA
FOL80,MOD72,NA
GL380,GLA69,SOO72
HAR80,MOY76,NA
HIC80,BLT75,MAG72
KIL80,BUL71,NA
MAN80,MOM72,NA
MOP80,MOM68,NA
NON80,NOB76,NA
OTA80,OTAGG,NA
PHO80,FEE75,NA
PIN80,TAL70,NA
SAF80,CRT76,LTNIK
TEA80,TAL71,MAXIS
TER80,TRN72,BOSSS
THO80,YTA74,PHANT
TOR80,TRN69,NA
TRA80,GRC76,NA
TRN80,TRNRI,NA
UMB80,MEL76,LTNIK
VER80,RGR71,CRT72
VIX80,LTF73,NA
WAX80,WHI76,CLE72
WIG80,TEA76,NA
YEY80,YEEYE,NA
YTA80,YTAGG,NA
ADZ81,MOY74,NA
AVO81,UPT78,NA
BAR81,UPR71,BOSSS
BIS81,CIN76,NA
BOT81,GL375,TRN73
BR281,BRO70,WHI72
BUC81,BUL73,YHO72
CAN81,WHI73,CLE72
CLC81,COL72,NA
CLE81,CLEOP,NA
CRA81,BIG76,GROWT
CRT81,CROTT,NA
EIF81,COT78,WHI72
FAG81,CHE73,NA
FIR81,BUL70,NA
FOL81,MOD72,YHO72
GAL81,POL77,BRF74
GRC81,GRE72,MYR72
HAR81,MOY76,NA
HIC81,BLT75,RED73
KIL81,BUL71,NA
KIW81,BLO75,NA
LAM81,CMO78,CRT72
LEN81,MOY73,PHANT
LIT81,LITLH,NA
MAC81,YHO74,NA
MAW81,MOD74,GROWT
MOY81,UPR68,NA
OTA81,OTAGG,CRT72
POL81,POLLU,MAG72
PRI81,PGB74,NA
QUA81,BR274,NA
RAN81,YTA75,NA
RED81,REDYE,BAR75
RGR81,RGRHI,NA
SNI81,GRE73,NA
THO81,YTA74,CLE72
TIT81,CLE75,NA
TRA81,GRC76,PHANT
TYS81,TOR75,TRN73
VER81,RGR71,MAXIS
WEE81,WHE77,NA
WIG81,TEA76,PHANT
ASP82,TOR72,BLT71
BAR82,UPR71,GROWT
BLC82,BLO72,TRN73
BLO82,BLOSS,TRN73
BRF82,FEE71,TAMEG
BUC82,BUL73,LTNIK
CAL82,CIN78,PHANT
CAN82,WHI73,NA
CAP82,SNI77,NRSWI
CFU82,CMO77,BLT71
CLA82,CLE77,PHANT
CLC82,COL72,NA
CRA82,BIG76,SOO72
CRE82,CLE76,PHANT
DAR82,BLT73,PHANT
FID82,VER78,CRT72
FLY82,LTF74,NA
HAR82,MOY76,TAL75
HIC82,BLT75,YHO72
KIL82,BUL71,UPR72
LIM82,POL73,NA
LIZ82,LTF77,TOR74
LOB82,TOR78,GROWT
MAX82,COL78,PHANT
MOS82,CRT74,PHANT
MOY82,UPR68,BLT71
PLO82,TRN74,GROWT
QUI82,MEL77,CRT72
RAN82,YTA75,D0605
RED82,REDYE,D0578
RHY82,MOS78,PHANT
SAF82,CRT76,CLE72
SIE82,MEL75,LIKEC
TEA82,TAL71,LTNIK
THO82,YTA74,D0578
TYS82,TOR75,TAL75
UMB82,MEL76,PHANT
UPT82,UPTUR,CRT72
VER82,RGR71,CRT72
WAX82,WHI76,NA
WHA82,CUR78,NA
WHI82,WHIGR,COY76
ASP83,TOR72,SOO72
AVO83,UPT78,CHE75
BAR83,UPR71,GROWT
